Publisher,Website,Type of Publisher,Genres Published,Year Established,Address,Name,Title,Mission Statement / Editorial Focus,Submission Info,Distributors
Fork Apple Press,https://www.forkapplepress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Criticism Reviews, Environment Nature, Essays, Experimental, Feminist, Graphic Novels Comics, Interviews, Reviews",2024,"Somerville, MA",Katie Mihalek & Vivian Walman-Randall,Poetry Editor & Prose Editor,"Fork Apple Press is a small independent literary press publishing work that expands beyond a core, essentialized “truth” to challenge a monolithic point of view.  Fork Apple Press consists of three prongs – The Core Review, The Juice Blog, and The Slice Contest – that bite into themes and symbols of desire, consumption, spirituality, gender, environment, cultivation, and wildness. Each prong offers a different outlet, yet the fork forms a collective discourse circulating around shared topics. We seek to embrace each work’s ability to introduce unique associations while standing in conversation with and juxtaposition against others. We're excited about pieces engaged with environmental justice, postcolonial feminism, queerness in all its humanizing and messy forms, and to support writers' expansion beyond these topics in ways that move them.  Rather than reinforcing limitations through a preset symbology, we feel that the fork and apple represent how a concentrated meditation on a symbol can expand into an associative web, wherein multiplicity and intersectionality deepens understanding. Just as the inorganic fork stabs into the organic apple, we look for the unexpected in order to reconsider and challenge how our world, and the established tools we use to navigate through it, functions.  We deconstruct the narratives that have traditionally dominated literary spaces and conventions and are committed to work that writes toward a future beyond prejudice and limitations. We invite work that upends, restructures, and reformats the predetermined conversation through genre blurring, experimentation, multimodality, and authenticity.  As editors, we prioritize accessibility in our literary space with free submissions whenever possible. We also aim to provide full online access to read and engage with The Core Review and The Juice Blog in the interest of maximizing reach to all members of our community.  To expand the page of the traditional American literary landscape, Fork Apple Press folds voices that have been cast into the margin to the center of the conversation. We encourage writers from different identities, cultures, and backgrounds to submit. We work to build a community of writers and readers through prioritizing open and active engagement across our publications.",No Charges Writers A Submission/Reading Fee no Contests no,
Fortuna Major Press,https://www.fortunamajorpress.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Erotica, Essays, Feminist, Political, Reviews, Visual Art",2022,"Easthampton, Massachusetts",Lachlan Thompson,Founder & Editor,"Fortuna Major Press publishes the work of emerging and established healers, organizers, artists, storytellers, and cultural catalysts because creativity is a powerful form of resistance and healing to cultures of oppression.",No Charges Writers A Submission/Reading Fee no Contests no Number Of Issues Per Year 1,
Frayed Edge Press,https://www.frayededgepress.com/,Press,"Fiction, Poetry, Translation, Visual Art",2016,"Philadelphia, PA",Alison M. Lewis,Publisher,"Frayed Edge Press is a small independent publishing house based in Philadelphia. We publish literary fiction and poetry, as well as non-fiction titles in history, political science, and other social sciences/humanities. We also publish selected translations in those categories. We especially welcome marginalized voices, both historical and contemporary, including women, people of color, ethnic and religious minorities, the LGBTQ+ community, and progressive political viewpoints. We particularly seek to publish works that wrestle with important questions challenging contemporary society, including political and environmental concerns, civil rights, women's rights, and sustainability.",,
Fuente Fountain Books,http://fuentebooks.com/index.html,Press,"Creative Nonfiction, Fiction, Poetry, Environment Nature, Essays, Feminist",2022,"Portland, OR",Tania Cano,Editor,"Fuente Fountain Books, where good ideas bubble up. We are an independent small trade press that specializes in publishing progressive and bilingual feminist multicultural books (poetry, fiction, non-fiction, memoir, translation).",No Charges Writers A Submission/Reading Fee no Contests no,
Future Tense Books,http://www.futuretensebooks.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Essays, Experimental, Feminist, Humor, Visual Art",1992,"Portland, OR",Kevin Sampsell,Publisher & Editor,"Throughout the years, Future Tense has gone from scrappy xeroxed chapbooks (early 90s, before we had a computer) to beautifully designed paperbacks, limited edition hardcovers, our pocket-sized Scout Books series, and eBooks. We’re proud to have published many groundbreaking debuts and small press classics by notable authors throughout the years (like Garielle Lutz, Chelsea Hodson, Zoe Trope, Susannah Breslin, Aaron Gilbreath, Wendy C. Ortiz, Myriam Gurba, Jay Ponteri, Emilly Prado, Shane Allison, Mike Topp, Elizabeth Ellen, May-Lan Tan, Chloe Caldwell, Hillary Leftwich, Jeff Alessandrelli, Chelsea Martin, Elissa Washuta, Shane Kowalski, Parker Young, and so many others). 
We take pride in publishing new and groundbreaking writers and books that take chances and go places where you might not expect. We’re committed to showcasing writers who are not just important and innovative, but also accessible and fun. 
Editors: Kevin Sampsell and Emma Alden",No Charges Writers A Submission/Reading Fee no Contests no,
Futurepoem Books,http://www.futurepoem.com,Press,"Fiction, Poetry",2001,"New York, NY",Dan Machlin,Executive Editor,"Futurepoem is an award-winning non-profit publisher of poetry and cross-genre literature. We publish books by innovative emerging and underrepresented writers and have over 35 nationally distributed titles in print. We also hold an annual open reading period, a critical submissions opportunity for innovative writers. The submissions are reviewed and selected for publication by a distinguished panel of guest editors each year. Our guest editors ensure a diversity of editorial opinions and backgrounds.",No Charges Writers A Submission/Reading Fee no Contests no,
Garden of Neuro Institute Publishing,https://gardenofneuro.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Essays, Feminist, Horror Thriller Suspense, Humor, Mystery Crime, Regional, Sci Fi Fantasy Speculative",2021,"Poughkeepsie, NY",Susan Brearley,Executive Director,"We are an institute incubating voice, agency and leadership. To start this work, we focus on voice, through poetry and writing.  We maintain multiple publications online, provide free and fee editorial services and courses, and help writers get published wherever they choose.  The services are open to the public.","Yes Submission Guidelines URL https://www.gardenofneuropublishing.com/ Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments royalties, copies Contests no Facebook https://www.facebook.com/GardenofNeuro","Amazon.com KDP,"
Gasher Press,http://gasherpress.com,Press,Poetry,2018,"Gilbert, Arizona",Whitney Koo,Publisher,Gasher Press is a 501(c)(3) nonprofit publisher. We are interested in fresh voices and innovative forms. Make everything useful.,No Charges Writers A Submission/Reading Fee no Contests no,
Gen Society,https://gensociety.com/,"Online, Press","Poetry, Cross Genre Hybrid, Experimental, Visual Art",2026,"Phoenix, AZ",Lorin Drexler,Founder,"Gen Society operates as a small press built around a Quarterly Poet Residency, publishing sustained sequences rather than isolated acceptances. The editors seek work that demonstrates command of language and structure, engages image, metaphor, and symbol with intention, and presents a distinct, disciplined voice. Gen Society values depth and precision over trend. Work that relies on slogan, provocation, or ideology without formal rigor will not be competitive.",Yes Fee Amount 10,
Ghostbird Press,http://www.ghostbirdpress.org,Chapbook,"Essays, Fiction, Graphic Novels Comics, Poetry, Translation, Visual Art",2011,"Massapequa, NY",Pete Vanderberg,Founding Editor,"Ghostbird Press makes chapbooks that join word and image.  Recent authors include Rajiv Mohabir, Roger Sedarat and Kimiko Hahn.",No,
